,f1,f2,f3,f4,f5
93,1.207275,0.044975,-0.261514,-0.275421,-0.052065
101,-0.218985,-0.584332,-0.387559,-0.069625,0.059913
48,0.663938,-1.213638,-0.387559,1.151435,6.288686
49,-0.151068,0.600246,0.557779,-0.289141,-0.541968
59,-0.015234,0.044975,-0.009424,-0.261701,-0.206034
41,-0.35482,-0.380732,-0.450582,-0.371459,-0.010073
50,0.256435,-0.121606,-0.072447,-0.275421,-0.443987
42,1.750613,-1.509783,-1.017785,1.233753,-0.234029
82,-0.966074,1.914387,-0.198492,-0.247982,-0.611954
63,-0.898157,0.174538,0.368712,-0.220542,-0.58396
4,-0.966074,-0.491786,-0.576627,-0.261701,0.073911
76,-1.373577,2.580711,2.133344,-0.3303,-0.527971
51,-0.218985,0.174538,-0.072447,-0.302861,-0.401996
98,0.256435,-0.62135,-0.261514,-0.247982,-0.080059
54,0.256435,0.081993,-0.324537,-0.31658,-0.555965
86,0.324352,1.303589,-0.198492,-0.302861,-0.541968
7,-2.935672,1.488679,4.969361,-0.261701,-0.527971
12,1.003524,-1.528292,-1.143831,2.688049,2.56542
