,f1,f2,f3,f4,f5
53,-0.218985,0.174538,-0.63965,-0.3303,-0.374001
62,0.188518,-0.306696,-0.324537,-0.275421,0.53582
106,1.139358,-1.195129,-0.63965,0.726122,3.083318
0,-0.083151,-0.010552,0.053599,-0.31658,-0.164042
49,0.799772,-0.565823,-0.576627,-0.234262,0.059913
59,-0.286902,-0.103097,-0.63965,-0.261701,-0.42999
1,1.275192,0.507701,0.179644,-0.247982,-0.457984
7,0.528104,-0.177133,0.368712,-0.302861,0.045916
38,-0.286902,-0.713895,-0.072447,-0.275421,0.017922
21,0.324352,-0.214151,-0.072447,-0.193103,-0.318012
86,-1.30566,2.155004,3.141706,-0.34402,-0.555965
54,0.528104,0.248574,-0.198492,-0.247982,0.213883
39,0.324352,-0.306696,-0.198492,-0.3303,-0.471982
75,-0.015234,-0.565823,-0.513605,-0.220542,-0.234029
37,-0.762323,-0.436259,-0.513605,-0.275421,-0.415993
90,-0.694405,1.211044,1.377073,-0.206822,-0.513973
72,0.052683,-0.177133,-0.198492,-0.289141,0.073911
101,0.799772,-1.528292,-0.89174,2.098099,2.81737
27,-0.558571,0.211556,0.242666,-0.34402,-0.58396
43,-0.35482,-0.306696,-0.198492,-0.179383,-0.387998
11,0.460186,-0.565823,-0.513605,-0.261701,-0.262023
98,0.799772,-1.324692,0.242666,-0.275421,0.087908
44,-0.083151,0.52621,-0.387559,-0.055905,-0.304015
91,-0.626488,1.359116,-0.135469,-0.247982,-0.499976
102,1.003524,-0.843458,-0.63965,1.43955,7.338479
80,2.090198,1.155517,1.06196,-0.289141,-0.569962
96,0.799772,-0.62135,-0.009424,0.986797,4.860967
2,0.052683,-0.898985,-0.324537,-0.247982,-0.332009
61,0.188518,-0.306696,-0.324537,-0.289141,0.003924
88,-2.73192,0.840863,3.582864,-0.35774,-0.569962
46,0.935607,0.304102,0.368712,-0.206822,-0.220031
89,-0.762323,0.748318,0.935915,-0.234262,-0.499976
93,-1.373577,1.174026,1.755209,-0.3303,-0.527971
82,1.750613,1.155517,1.692186,-0.35774,-0.527971
57,0.052683,-0.23266,-0.261514,-0.302861,-0.415993
40,0.052683,-0.084588,-0.450582,-0.289141,-0.248026
73,1.275192,-0.454768,-0.198492,-0.179383,0.353855
51,-0.015234,-0.269678,-0.576627,-0.138223,-0.192037
29,0.460186,-0.380732,-0.261514,-0.35774,-0.234029
14,-0.558571,-0.750913,0.179644,-0.193103,-0.010073
26,0.663938,-0.380732,-0.135469,-0.234262,1.375654
35,0.596021,-0.177133,-0.135469,-0.234262,0.409844
104,0.324352,-0.936003,-0.89174,0.355688,2.201491
60,-0.422737,-0.306696,-0.576627,-0.261701,-0.346007
17,0.528104,0.174538,-0.072447,-0.275421,-0.220031
103,0.867689,-1.010039,-0.198492,1.096556,6.87657
47,0.392269,-0.195642,0.305689,-0.234262,-0.332009
41,-0.490654,-0.565823,-0.324537,-0.234262,-0.318012
78,0.392269,-0.491786,-0.63965,-0.220542,0.073911
23,0.867689,0.618755,-0.387559,-0.220542,-0.471982
77,0.256435,-0.676877,-0.576627,-0.275421,-0.262023
94,-1.101908,0.174538,-0.072447,-0.34402,-0.569962
56,0.663938,0.081993,-0.198492,-0.247982,-0.122051
87,-0.626488,0.52621,0.620802,-0.371459,-0.555965
5,0.392269,-0.04757,0.179644,-0.234262,0.255875
74,-0.015234,-0.676877,-0.702672,-0.31658,-0.332009
19,-1.237743,-0.380732,-0.324537,-0.247982,-0.387998
8,0.256435,-0.380732,-0.135469,0.067573,-0.262023
3,-0.218985,-0.750913,-0.009424,-0.247982,0.437839
